
Logfile opened on Sat Jun  6 23:58:34 2020
Sun Jun  7 02:13:41 2020: ^4Client admin 39.50.39.11:28960 ^4left this server from slot 2 with guid 000000003a57f9529248ce8c0f0124f7
Sun Jun  7 02:15:53 2020: ^5Client admin 39.50.39.11:28960 ^5entered this server in slot 2 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 02:17:00 2020: ^5Client IceVulpes26 65.78.90.131:28960 ^5entered this server in slot 6 with guid 000000003cf62c482bc97754b8a5afe0
Sun Jun  7 02:19:05 2020: ^4Client IceVulpes26 65.78.90.131:28960 ^4left this server from slot 6 with guid 000000003cf62c482bc97754b8a5afe0
Sun Jun  7 02:21:52 2020: ^4Client illusio 112.134.78.73:4637 ^4left this server from slot 3 with guid 00000000640101f3cd54191180d856a0
Sun Jun  7 02:22:01 2020: ^5Client IceVulpes26 65.78.90.131:28960 ^5entered this server in slot 6 with guid 000000003cf62c482bc97754b8a5afe0
Sun Jun  7 02:24:13 2020: ^4Client Maxwell 39.32.212.129:28960 ^4left this server from slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 02:27:04 2020: ^5Client SirCumSized Doll. 125.209.100.102:22602 ^5entered this server in slot 1 with guid 000000007b1bf9e77faead1d50a15a0a
Sun Jun  7 02:28:31 2020: ^4Client admin 39.50.39.11:28960 ^4left this server from slot 2 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 02:29:48 2020: ^4Client IceVulpes26 65.78.90.131:28960 ^4left this server from slot 6 with guid 000000003cf62c482bc97754b8a5afe0
Sun Jun  7 02:35:50 2020: ^4Client evolution 'taraj 181.188.118.69:28960 ^4left this server from slot 2 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 02:40:44 2020: ^4Client HaKai </3 39.41.174.1:41828 ^4left this server from slot 4 with guid 000000009897fe806d20e7a93db50fa7
Sun Jun  7 02:42:24 2020: ^4Client AG`TitanShadow 41.46.101.24:28960 ^4left this server from slot 2 with guid 00000000fddec742e7fc80b3d2b9b46a
Sun Jun  7 02:42:51 2020: ^5Client AG`TitanShadow 41.46.101.24:28960 ^5entered this server in slot 2 with guid 00000000fddec742e7fc80b3d2b9b46a
Sun Jun  7 02:51:17 2020: ^4Client AG`TitanShadow 41.46.101.24:28960 ^4left this server from slot 2 with guid 00000000fddec742e7fc80b3d2b9b46a
Sun Jun  7 02:51:26 2020: ^4Client SirCumSized Cat 125.209.100.102:22602 ^4left this server from slot 1 with guid 000000007b1bf9e77faead1d50a15a0a
Sun Jun  7 03:03:59 2020: ^5Client DestroYT 39.62.172.38:28960 ^5entered this server in slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 03:07:51 2020: ^5Client opti 176.92.19.48:28960 ^5entered this server in slot 2 with guid 921261e063509b3a01f1029b60ef6bbd
Sun Jun  7 03:18:14 2020: ^5Client =|LuV|=DADDY 156.203.224.165:28960 ^5entered this server in slot 8 with guid 000000003979a2a268462c3b663a4545
Sun Jun  7 03:26:26 2020: ^4Client opti 176.92.19.48:28960 ^4left this server from slot 2 with guid 921261e063509b3a01f1029b60ef6bbd
Sun Jun  7 03:27:02 2020: ^4Client DestroYT 39.62.172.38:28960 ^4left this server from slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 03:33:48 2020: ^4Client =|LuV|=DADDY 156.203.224.165:28960 ^4left this server from slot 8 with guid 000000003979a2a268462c3b663a4545
Sun Jun  7 03:35:34 2020: ^5Client bERRI 123.231.105.167:62220 ^5entered this server in slot 1 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 03:36:14 2020: ^5Client bERRI 123.231.105.167:62220 ^5entered this server in slot 1 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 03:42:34 2020: ^4Client bERRI 123.231.105.167:62220 ^4left this server from slot 1 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 03:52:21 2020: ^5Client uB| P@r@N0!D! 75.131.58.46:28960 ^5entered this server in slot 1 with guid 2518edc9451b2af9f6e8bf11a679475c
Sun Jun  7 03:52:57 2020: ^5Client k0_stha 112.134.29.51:53226 ^5entered this server in slot 2 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 03:54:30 2020: ^4Client uB| P@r@N0!D! 75.131.58.46:28960 ^4left this server from slot 1 with guid 2518edc9451b2af9f6e8bf11a679475c
Sun Jun  7 03:54:53 2020: ^5Client batmange mesa redda 112.135.10.26:38750 ^5entered this server in slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 03:56:53 2020: ^4Client batmange mesa redda 112.135.10.26:38750 ^4left this server from slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 03:58:00 2020: ^5Client DARK DRAGON 175.157.180.37:47513 ^5entered this server in slot 1 with guid 000000009f05b50a786451817fcc28fa
Sun Jun  7 04:00:29 2020: ^4Client k0_stha 112.134.29.51:53226 ^4left this server from slot 2 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 04:18:26 2020: ^5Client evolution 'Mole 190.213.193.180:28960 ^5entered this server in slot 2 with guid 0000000064b5ce67a970292110dcd2b2
Sun Jun  7 04:29:50 2020: ^5Client batmange mesa redda 112.135.10.26:38442 ^5entered this server in slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 04:33:15 2020: ^5Client bC`2pac Shakur 78.156.228.2:28960 ^5entered this server in slot 4 with guid 00000000f8499f2a30d0532fa7937fee
Sun Jun  7 04:36:40 2020: ^4Client batmange mesa redda 112.135.10.26:38442 ^4left this server from slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 04:37:30 2020: ^5Client HaKai </3 39.41.164.105:41828 ^5entered this server in slot 3 with guid 000000009897fe806d20e7a93db50fa7
Sun Jun  7 04:39:37 2020: ^4Client Doctor_Bob# 94.245.129.249:4392 ^4left this server from slot 5 with guid 0000000040593b34e41894b7e9fc9718
Sun Jun  7 04:40:00 2020: ^5Client myWn<3 112.215.244.107:28960 ^5entered this server in slot 6 with guid 00000000c6b79d3db20591590f716de1
Sun Jun  7 04:40:58 2020: ^4Client HaKai </3 39.41.164.105:41828 ^4left this server from slot 3 with guid 000000009897fe806d20e7a93db50fa7
Sun Jun  7 04:43:01 2020: ^4Client DARK DRAGON 175.157.180.37:47513 ^4left this server from slot 1 with guid 000000009f05b50a786451817fcc28fa
Sun Jun  7 04:44:42 2020: ^4Client ZONk 112.215.244.107:28960 ^4left this server from slot 6 with guid 00000000c6b79d3db20591590f716de1
Sun Jun  7 04:44:49 2020: ^4Client evolution 'Mole 190.213.193.180:28960 ^4left this server from slot 2 with guid 0000000064b5ce67a970292110dcd2b2
Sun Jun  7 05:09:25 2020: ^4Client bC`2pac Shakur 78.156.228.2:28960 ^4left this server from slot 4 with guid 00000000f8499f2a30d0532fa7937fee
Sun Jun  7 05:26:57 2020: ^5Client =|LuV|=DADDY 156.203.224.165:28960 ^5entered this server in slot 8 with guid 000000003979a2a268462c3b663a4545
Sun Jun  7 05:35:16 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 05:35:34 2020: ^5Client lucker 181.188.117.135:28960 ^5entered this server in slot 2 with guid 000000003a57f9529248ce8c0f0124f7
Sun Jun  7 05:37:00 2020: ^5Client Alan walker 112.134.77.36:9166 ^5entered this server in slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 05:38:17 2020: ^4Client shaRkzje 161.0.241.101:28724 ^4left this server from slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 05:38:29 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 05:41:30 2020: ^5Client SneaX 103.66.209.74:62924 ^5entered this server in slot 4 with guid 00000000e885d0c0a58170c93b88005b
Sun Jun  7 05:49:30 2020: ^5Client k0_stha 112.134.29.51:51554 ^5entered this server in slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 05:50:31 2020: ^4Client shaRkzje 161.0.241.101:28724 ^4left this server from slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 05:50:42 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 05:52:48 2020: ^4Client SneaX 103.66.209.74:62924 ^4left this server from slot 4 with guid 00000000e885d0c0a58170c93b88005b
